Date,Region,Product,Units_Sold,Price,Marketing_Spend,Revenue
2022-10-01,North,Product A,23,32.48149123539492,733.991780504304,747.0742984140832
2022-10-01,North,Product B,21,21.646759543664196,1954.8647782429914,454.58195041694813
2022-10-01,North,Product C,25,34.54599737656805,775.1067647801508,863.6499344142013
2022-10-01,South,Product A,17,54.55560149136926,936.8437102970629,927.4452253532775
2022-10-01,South,Product B,21,43.37157188281745,1049.5427649405376,910.8030095391664
2022-10-01,South,Product C,19,35.97390257266878,1271.3516576204174,683.5041488807068
2022-10-01,East,Product A,21,68.60358815211507,755.7861855309372,1440.6753511944164
2022-10-01,East,Product B,17,74.73864212097254,1160.228740609402,1270.5569160565333
2022-10-01,East,Product C,14,22.75108168921747,1863.9806031181731,318.5151436490446
2022-10-01,West,Product A,17,44.93688608715288,1280.1020317667162,763.9270634815989
2022-10-01,West,Product B,21,97.56677022116469,1662.6992350416717,2048.9021746444587
2022-10-01,West,Product C,21,27.07940016415356,793.9742936287178,568.6674034472248
2022-10-02,North,Product A,18,86.29900073215435,1035.129990040384,1553.3820131787784
2022-10-02,North,Product B,17,31.27393799798101,1703.2954711310595,531.6569459656772
2022-10-02,North,Product C,24,20.441769369888192,1723.1921426822512,490.6024648773166
2022-10-02,South,Product A,23,81.70162773487566,611.0669776011356,1879.1374379021402
2022-10-02,South,Product B,18,89.04827407004748,1434.947190241337,1602.8689332608546
2022-10-02,South,Product C,18,44.878585737252976,987.7749830401206,807.8145432705536
2022-10-02,East,Product A,23,90.97701940610612,1208.322387742924,2092.4714463404407
2022-10-02,East,Product B,14,80.8628038893518,1341.9157963542443,1132.0792544509252
2022-10-02,East,Product C,24,61.818626350559526,1141.3115275378245,1483.6470324134286
2022-10-02,West,Product A,17,92.60531791408744,873.9383437233124,1574.2904045394864
2022-10-02,West,Product B,19,38.3038532393298,615.4698647431895,727.7732115472661
2022-10-02,West,Product C,17,94.37581218740584,1712.1805693466254,1604.3888071858994
2022-10-03,North,Product A,24,91.40471987919823,1309.0133628734761,2193.7132771007573
2022-10-03,North,Product B,17,38.234813003355335,1140.6616829393845,649.9918210570407
2022-10-03,North,Product C,19,29.589229386694626,1006.4227571054419,562.195358347198
2022-10-03,South,Product A,29,61.50324973946929,1554.5284383427668,1783.5942424446093
2022-10-03,South,Product B,32,59.77988047139084,951.3174647251544,1912.9561750845069
2022-10-03,South,Product C,17,68.76514671839175,1254.0185348432924,1169.0074942126598
2022-10-03,East,Product A,10,92.6612708773323,859.3428360004586,926.612708773323
2022-10-03,East,Product B,14,98.85203632884806,863.0829072672507,1383.9285086038728
2022-10-03,East,Product C,22,39.01100351939198,1592.3245229177894,858.2420774266235
2022-10-03,West,Product A,18,70.68237686087159,1303.6620261121377,1272.2827834956886
2022-10-03,West,Product B,13,45.66240519773886,779.7777655997813,593.6112675706053
2022-10-03,West,Product C,22,60.96744466394248,839.7436627969068,1341.2837826067346
2022-10-04,North,Product A,22,75.27501904819728,1080.1030194508062,1656.0504190603401
2022-10-04,North,Product B,29,47.285308084020684,670.2102818608836,1371.2739344365998
2022-10-04,North,Product C,17,85.37777601609727,1332.8012173991935,1451.4221922736535
2022-10-04,South,Product A,20,27.44822142447194,1845.8236369299902,548.9644284894388
2022-10-04,South,Product B,27,47.122383283896056,1023.8143619189914,1272.3043486651936
2022-10-04,South,Product C,26,71.36253169234303,626.2099474925733,1855.4258240009187
2022-10-04,East,Product A,21,28.11772342928257,1495.2526536620837,590.472192014934
2022-10-04,East,Product B,21,72.15690076020805,836.4039641908397,1515.294915964369
2022-10-04,East,Product C,23,46.03197585274142,1619.7371076770362,1058.7354446130526
2022-10-04,West,Product A,22,72.60903138402747,1352.4629050032074,1597.3986904486044
2022-10-04,West,Product B,13,41.216189414538036,865.9844650686254,535.8104623889944
2022-10-04,West,Product C,27,83.58490428333187,1253.9556396577882,2256.7924156499603
